,일상,분위기,힐링,에너지,배고픔,외로움
청담 클로드스튜디오,0.8036881248685795,0.7942828520570345,0.8310942908587484,0.8548929007584805,0.7965678533424697,0.8569185218801822
TIME AFTER TIME,0.8099388082036795,0.797806171377596,0.8415550553902538,0.8473467067648572,0.7839847104924279,0.8506520124342835
Grand Hyatt Seoul,0.7794795940980283,0.7548629616716607,0.8097243655948615,0.7803960117051324,0.7051854647160077,0.7659137245210709
Flour Artisan Bakery Cafe,0.7150333317800723,0.7069208868078628,0.7101852423096939,0.7470613758622002,0.6998252882072953,0.7403086692165979
동대문디자인플라자 DDP,0.8121319626140537,0.7915817191241113,0.834693115406332,0.8037518942642553,0.7282539931001408,0.7955984727381853
한남베르그,0.7184158730792238,0.7159716599924503,0.7249717549211095,0.7626236011783388,0.718421815947537,0.7658063767111625
사운즈 한남,0.7212902060069645,0.7188315956620267,0.733546772815152,0.7512165995721556,0.7027157286783298,0.7579576363746395
Assouline Lounge,0.8354215762162784,0.7933305384538858,0.8283782678250089,0.8053651397397001,0.7171985177517517,0.7645269038821442
Alver 알베르,0.743646115694991,0.7377995243171562,0.7448073340127157,0.737590095383981,0.6806293705157053,0.7380501751480255
Bedder Coffee 베더,0.7352585129468378,0.7001307617187843,0.6709491491369134,0.6226594217057372,0.5434736670916073,0.5769716762413067
연남동 포레스트,0.6565842573482141,0.6630575964047325,0.6714654835077257,0.7510673039038234,0.7242342254539733,0.7615435756530433
카페 노티드 잠실 - Cafe Knotted Jamsil,0.7376749438462086,0.7292209469089105,0.7382023971927836,0.7695628024416066,0.7194364545152523,0.7654128662491246
장미로타리크럽,0.729498205755546,0.7269672469106577,0.7333664651915182,0.7892633527013676,0.7469619377890002,0.7910815501096528
상남스시,0.6431248791828253,0.6331234966183721,0.6784351112293013,0.7694316936638361,0.7350183625996075,0.7670143538228748
온천집,0.6921421681588131,0.7022930630797649,0.712313627979896,0.7620551454636043,0.7308559190530781,0.7832137390274863
Signiel Seoul STAY,0.7457974035174271,0.7352372822491795,0.7749378328744311,0.7894108715554556,0.7334717532255833,0.7883878622851569
성수동 우디집,0.7461045023002968,0.7471509665172135,0.7453811977678739,0.7389351318464072,0.6872299155506036,0.7489082564538753
삼성동 조인바이트,0.6910600873911954,0.6882276660991415,0.7013533596565248,0.745151076922863,0.7035492479763985,0.7462002393200401
인사동 코트,0.8128937403851066,0.8021275661710869,0.8359962564864148,0.826377477506467,0.7602767942746473,0.8278058500459997
참치공방 시청점,0.6975754537577854,0.6999935696327056,0.7141817069903073,0.766431723399196,0.7286798010146658,0.7719928663064699
거무티티,0.6863588522404518,0.6948622388448548,0.6904456819126379,0.7175196654838443,0.6794399395424385,0.7324498731368991
청계천 어딘가에서..,0.7693648348289785,0.767827363896213,0.7986316257863076,0.8102788903692976,0.7570466911377169,0.8231537018707169
고양이정원,0.774792200814328,0.7784071859061817,0.7886921873443746,0.7515121353943619,0.6915095040322655,0.7688819983698646
카페장라이더스,0.7650292807459818,0.7566849575282066,0.7640541072306778,0.7663589397429001,0.7082667496505122,0.7634678745676264
스시시미즈,0.6443862980876014,0.6462082363257219,0.679870555694164,0.7767745861755201,0.7490881022515566,0.7870181015786025
